id,group,id_def
B29K2105,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Condition, form or state of moulded material "
B29K2307,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of elements other than metals as reinforcement"
B29K2309,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of inorganic materials not provided for in groups B29K2303/00 - B29K2307/00, as reinforcement"
B29K2707,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of elements other than metals for preformed parts, e.g. for inserts"
B29K2709,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Use of inorganic materials not provided for in groups B29K2603/00 - B29K2607/00, for preformed parts, e.g. for inserts"
B29K2995,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS - Properties of moulding materials, reinforcements, fillers, preformed parts or moulds"
B29L2009,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES - Layered products"
B29L2011,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES - Optical elements, e.g. lenses, prisms"
B29L2023,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES - Tubular articles "
B29L2031,B,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES - Other particular articles"
B30B11,B,"PRESSES IN GENERAL  - Presses specially adapted for forming shaped articles from material in particulate or plastic state, e.g. briquetting presses, tabletting presses "
B30B15,B,"PRESSES IN GENERAL  - Details of, or accessories for, presses"
B32B1,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products having a general shape other than plane"
B32B13,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising a "
B32B15,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising "
B32B17,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products essentially comprising sheet glass, or glass, slag, or like fibres"
B32B18,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Laminated products composed mainly of ceramics, e.g. refractory materials "
B32B2038,B,
B32B21,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising "
B32B2250,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layers arrangement"
B32B2255,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Coating on the layer surface"
B32B2260,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Impregnation or embedding of a layer"
B32B2262,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Composition of fibres which form a fibrous or filamentary layer or are present as additives"
B32B2264,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Composition of particles which form a particulate layer or are present as additives"
B32B2266,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Composition of foam"
B32B2270,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Resin or rubber layer containing a blend of at least two different polymers"
B32B2274,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Thermoplastic elastomer material "
B32B23,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising "
B32B2305,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Condition, form or state of the layers or laminate"
B32B2307,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Properties of the layers or laminate"
B32B2309,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Parameters for the laminating or treatment process"
B32B2367,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Polyesters, e.g. PET, i.e. polyethylene terephthalate"
B32B2419,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Buildings or parts thereof "
B32B2437,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Clothing "
B32B2439,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Containers"
B32B2451,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Decorative or ornamental articles "
B32B2457,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Electrical equipment"
B32B2471,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Floor coverings "
B32B25,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising "
B32B2519,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Labels, badges"
B32B2553,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Packaging equipment or accessories not otherwise provided for"
B32B2555,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Personal care"
B32B2571,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Protective equipment"
B32B2597,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Tubular articles, e.g. hoses, pipes"
B32B2605,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Vehicles"
B32B2607,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Walls, panels"
B32B27,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising "
B32B29,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising "
B32B3,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising a layer with external or internal discontinuities or unevennesses, or a layer of non-planar form "
B32B37,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Methods or apparatus for laminating, e.g. by curing or by ultrasonic bonding "
B32B38,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Ancillary operations in connection with laminating processes"
B32B5,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products characterised by the non- homogeneity or physical structure "
B32B7,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products characterised by the relation between layers, i.e. products comprising layers having different physical properties and products characterised by the interconnection of layers"
B32B9,B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM - Layered products comprising a particular substance not covered by groups B32B11/00-B32B29/00"
B41M5,B,"PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES - Duplicating or marking methods"
B44C5,B,PRODUCING DECORATIVE EFFECTS  - Processes for producing special ornamental bodies
B60K2350,B,ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES - Arrangements or adaptations of instruments
B60L11,B,ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES - Electric propulsion with power supplied within the vehicle 
B60L2200,B,ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES - Type of vehicles
B60L2210,B,ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES - Converter types
B60L2230,B,ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES - Charging station details
B60L2250,B,ELECTRIC EQUIPMENT OR PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES - Driver interactions
B60Q1,B,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL - Arrangements or adaptations of optical signalling or lighting devices "
B60Q3,B,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL - Arrangement of lighting devices for vehicle interiors"
B64C1,B,AEROPLANES - Fuselages
B64C3,B,AEROPLANES - Wings 
B65D75,B,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS - Packages comprising articles or materials partially or wholly enclosed in strips, sheets, blanks, tubes, or webs of flexible sheet material, e.g. in folded wrappers "
B65H75,B,"HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES - Storing webs, tapes, or filamentary material, e.g. on reels "
B81B2201,B,"MICRO-STRUCTURAL DEVICES OR SYSTEMS, e.g. MICRO-MECHANICAL DEVICES  - Specific applications of micro-electromechanical systems"
B81B2203,B,"MICRO-STRUCTURAL DEVICES OR SYSTEMS, e.g. MICRO-MECHANICAL DEVICES  - Basic micro-electromechanical structures"
B81B2207,B,"MICRO-STRUCTURAL DEVICES OR SYSTEMS, e.g. MICRO-MECHANICAL DEVICES  - Micro-structural systems or auxiliary parts thereof"
B81B3,B,"MICRO-STRUCTURAL DEVICES OR SYSTEMS, e.g. MICRO-MECHANICAL DEVICES  - Devices comprising flexible or deformable elements, e.g. comprising elastic tongues or membranes "
B81B7,B,"MICRO-STRUCTURAL DEVICES OR SYSTEMS, e.g. MICRO-MECHANICAL DEVICES  - Micro-structural systems; "
B81C1,B,PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICRO-STRUCTURAL DEVICES OR SYSTEMS  - Manufacture or treatment of devices or systems in or on a substrate 
B81C2203,B,PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICRO-STRUCTURAL DEVICES OR SYSTEMS  - Forming micro-structural systems
B82Y10,B,"SPECIFIC USES OR APPLICATIONS OF NANO-STRUCTURES - Nano-technology for information processing, storage or transmission, e.g. quantum computing or single electron logic"
B82Y20,B,"SPECIFIC USES OR APPLICATIONS OF NANO-STRUCTURES - Nano-optics, e.g. quantum optics or photonic crystals"
B82Y30,B,"SPECIFIC USES OR APPLICATIONS OF NANO-STRUCTURES - Nano-technology for materials or surface science, e.g. nano-composites"
B82Y40,B,SPECIFIC USES OR APPLICATIONS OF NANO-STRUCTURES - Manufacture or treatment of nano-structures
C01B21,C,NON-METALLIC ELEMENTS - Nitrogen
C01B31,C,NON-METALLIC ELEMENTS - Carbon
C01G23,C,COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES C01D OR C01F  - Compounds of titanium 
C01G25,C,COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES C01D OR C01F  - Compounds of zirconium
C01G49,C,COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES C01D OR C01F  - Compounds of iron
C01P2002,C,INDEXING SCHEME RELATING TO STRUCTURAL AND PHYSICAL ASPECTS OF SOLID INORGANIC COMPOUNDS - Crystal-structural characteristics
C01P2004,C,INDEXING SCHEME RELATING TO STRUCTURAL AND PHYSICAL ASPECTS OF SOLID INORGANIC COMPOUNDS - Particle morphology
C01P2006,C,INDEXING SCHEME RELATING TO STRUCTURAL AND PHYSICAL ASPECTS OF SOLID INORGANIC COMPOUNDS - Physical properties of inorganic compounds
C02F1,C,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE  - Treatment of water, waste water, or sewage "
C02F2201,C,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE  - Apparatus for treatment of water, waste water or sewage"
C02F2209,C,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE  - Controlling or monitoring parameters in water treatment"
C03B2201,C,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES - Type of glass produced"
C03B2203,C,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES - Fibre product details, e.g. structure, shape"
C03B2205,C,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES - Fibre drawing or extruding details"
C03B37,C,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES - Manufacture or treatment of flakes, fibres, or filaments from softened glass, minerals, or slags"
C03B5,C,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES - Melting in furnaces"
C03C13,C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES, OR VITREOUS ENAMELS - Fibre or filament compositions "
C03C2201,C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES, OR VITREOUS ENAMELS - Glass compositions"
C03C25,C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES, OR VITREOUS ENAMELS - Surface treatment of fibres or filaments from glass, minerals, or slags "
C03C3,C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES, OR VITREOUS ENAMELS - Glass compositions"
C04B14,C,"LIME, MAGNESIA - Use of inorganic materials as fillers, e.g. pigments, for mortars, concrete or artificial stone"
C04B18,C,"LIME, MAGNESIA - Use of agglomerated or waste materials or refuse as fillers for mortars, concrete or artificial stone "
C04B20,C,"LIME, MAGNESIA - Use of materials as fillers for mortars, concrete or artificial stone according to more than one of groups C04B14/00-C04B18/00 and characterised by shape or grain distribution"
C04B2103,C,"LIME, MAGNESIA - Function or property of ingredients for mortars, concrete or artificial stone"
C04B2111,C,"LIME, MAGNESIA - Mortars, concrete or artificial stone or mixtures to prepare them, characterised by specific function, property or use"
C04B22,C,"LIME, MAGNESIA - Use of inorganic materials as active ingredients for mortars, concrete or artificial stone, e.g. accelerators "
C04B2235,C,"LIME, MAGNESIA - Aspects relating to ceramic starting mixtures or sintered ceramic products"
C04B2237,C,"LIME, MAGNESIA - Aspects relating to ceramic laminates or to joining of ceramic articles with other articles by heating"
C04B24,C,"LIME, MAGNESIA - Use of organic materials as active ingredients for mortars, concrete or artificial stone, e.g. plasticisers"
C04B28,C,"LIME, MAGNESIA - Compositions of mortars, concrete or artificial stone, containing inorganic binders or the reaction product of an inorganic and an organic binder, e.g. polycarboxylate cements"
C04B33,C,"LIME, MAGNESIA - Clay-wares "
C04B35,C,"LIME, MAGNESIA - Shaped ceramic products characterised by their composition "
C04B37,C,"LIME, MAGNESIA - Joining burned ceramic articles with other burned ceramic articles or other articles by heating "
C04B38,C,"LIME, MAGNESIA - Porous mortars, concrete, artificial stone or ceramic ware"
C04B40,C,"LIME, MAGNESIA - Processes, in general, for influencing or modifying the properties of mortars, concrete or artificial stone compositions, e.g. their setting or hardening ability "
C04B41,C,"LIME, MAGNESIA - After-treatment of mortars, concrete, artificial stone or ceramics"
C07D401,C,"HETEROCYCLIC COMPOUNDS - Heterocyclic compounds containing two or more hetero rings, having nitrogen atoms as the only ring hetero atoms, at least one ring being a six-membered ring with only one nitrogen atom"
C08G18,C,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS - Polymeric products of isocyanates or isothiocyanates 
C08G63,C,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS - Macromolecular compounds obtained by reactions forming a carboxylic ester link in the main chain of the macromolecule 
C08J2323,C,WORKING-UP - Characterised by the use of homopolymers or copolymers of unsaturated aliphatic hydrocarbons having only one carbon-to-carbon double bond
C08J2367,C,WORKING-UP - Characterised by the use of polyesters obtained by reactions forming a carboxylic ester link in the main chain 
C08J5,C,WORKING-UP - Manufacture of articles or shaped materials containing macromolecular substances 
C08J7,C,WORKING-UP - Chemical treatment or coating of shaped articles made of macromolecular substances 
C08K3,C,USE OF INORGANIC OR NON-MACROMOLECULAR ORGANIC SUBSTANCES AS COMPOUNDING INGREDIENTS  - Use of inorganic ingredients
C08K5,C,USE OF INORGANIC OR NON-MACROMOLECULAR ORGANIC SUBSTANCES AS COMPOUNDING INGREDIENTS  - Use of organic ingredients
C08L2205,C,COMPOSITIONS OF MACROMOLECULAR COMPOUNDS  - Polymer mixtures characterised by other features
C08L23,C,COMPOSITIONS OF MACROMOLECULAR COMPOUNDS  - Compositions of homopolymers or copolymers of unsaturated aliphatic hydrocarbons having only one carbon-to-carbon double bond
C08L2666,C,"COMPOSITIONS OF MACROMOLECULAR COMPOUNDS  - Composition of polymers characterized by a further compound in the blend, being organic macromolecular compounds, natural resins, waxes or and bituminous materials, non-macromolecular organic substances, inorganic substances or characterized by their function in the composition "
C08L29,C,"COMPOSITIONS OF MACROMOLECULAR COMPOUNDS  - Compositions of homopolymers or copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by an alcohol, ether, aldehydo, ketonic, acetal or ketal radical"
C08L33,C,"COMPOSITIONS OF MACROMOLECULAR COMPOUNDS  - Compositions of homopolymers or copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and only one being terminated by only one carboxyl radical, or of salts, anhydrides, esters, amides, imides or nitriles thereof"
C08L51,C,COMPOSITIONS OF MACROMOLECULAR COMPOUNDS  - Compositions of graft polymers in which the grafted component is obtained by reactions only involving carbon-to-carbon unsaturated bonds 
